customer_id,age,gender,province,district,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,monthly_bill_npr,recharge_segment
DEMO-0023,43,Male,Koshi,Bhojpur,Rural,Prepaid,90,148,9,0.96,15.6,16,150,10,-92,3.52,15.3,0,0,1,1,0,0,-41.6,-3.0,10,0,Medium
DEMO-0024,39,Female,Madhesh,Parsa,Semi-Urban,Prepaid,720,234,4,4.08,32.5,10,300,9,-52,0.1,2.7,0,0,1,1,1,1,16.7,-5.9,2,0,Medium
DEMO-0025,53,Male,Bagmati,Bhaktapur,Urban,Prepaid,2040,135,11,1.14,14.5,1,100,2,-72,0.51,15.4,0,0,1,1,0,0,5.6,29.8,6,0,Low
DEMO-0026,26,Male,Bagmati,Sindhuli,Rural,Prepaid,1950,116,3,2.14,12.8,0,300,4,-91,4.37,1.5,1,13,1,0,0,1,-26.7,20.9,12,0,Medium
DEMO-0027,37,Female,Madhesh,Bara,Semi-Urban,Prepaid,1530,131,3,1.19,23.2,3,150,6,-105,5.88,2.3,4,32,0,1,1,0,-16.4,-9.4,7,0,Medium
DEMO-0028,18,Female,Madhesh,Mahottari,Semi-Urban,Prepaid,360,14,2,5.14,30.7,7,10,7,-97,5.5,18.8,1,19,1,1,0,0,-22.8,6.5,8,0,Low
DEMO-0029,21,Male,Bagmati,Kavre,Semi-Urban,Prepaid,810,78,3,2.81,18.1,15,100,6,-90,5.28,17.5,1,26,1,1,0,0,-4.5,4.9,3,0,Low
DEMO-0030,31,Male,Madhesh,Bara,Semi-Urban,Prepaid,450,550,7,2.11,26.2,13,500,7,-89,3.92,5.7,2,17,0,1,1,0,-14.9,8.8,6,0,High
DEMO-0031,21,Female,Karnali,Kalikot,Rural,Prepaid,360,71,5,6.99,35.6,1,200,6,-104,6.32,2.0,2,19,1,0,0,0,2.2,11.8,2,0,Medium
DEMO-0032,31,Male,Lumbini,Rupandehi,Urban,Prepaid,2520,392,2,17.25,46.3,8,300,6,-75,3.46,24.6,2,32,1,1,0,0,8.4,-14.6,2,0,Medium
DEMO-0033,26,Male,Bagmati,Lalitpur,Urban,Prepaid,270,179,5,6.25,21.3,8,150,10,-74,1.12,20.8,0,0,1,1,0,0,3.1,2.7,2,0,Medium
DEMO-0034,35,Female,Madhesh,Mahottari,Semi-Urban,Prepaid,1110,189,6,1.54,21.8,8,200,6,-85,3.95,4.4,0,0,1,1,0,0,0.0,12.9,2,0,Medium
DEMO-0035,34,Female,Gandaki,Tanahun,Semi-Urban,Prepaid,1860,49,5,1.79,21.0,3,50,10,-85,3.14,14.5,0,0,1,1,0,1,-20.2,-2.1,5,0,Low
DEMO-0036,51,Male,Madhesh,Mahottari,Semi-Urban,Postpaid,210,451,7,2.48,31.5,0,0,0,-97,5.26,9.5,2,31,1,0,0,0,28.6,-10.5,3,800,Postpaid
DEMO-0037,25,Male,Koshi,Ilam,Semi-Urban,Postpaid,180,391,2,9.02,20.9,0,0,0,-83,2.71,10.6,0,0,1,1,0,0,-10.2,-15.4,9,500,Postpaid
DEMO-0038,18,Male,Karnali,Humla,Rural,Prepaid,1260,297,5,1.14,37.5,4,300,2,-96,6.16,3.9,3,10,1,1,0,0,10.6,1.1,2,0,Medium
DEMO-0039,26,Male,Lumbini,Banke,Urban,Prepaid,540,124,5,5.75,39.3,6,100,7,-64,0.1,21.8,0,0,1,1,0,1,28.1,14.6,4,0,Low
DEMO-0040,34,Female,Bagmati,Bhaktapur,Urban,Prepaid,780,42,4,4.45,31.4,14,30,4,-83,5.85,6.2,4,28,1,1,0,0,1.3,-19.6,5,0,Low
DEMO-0041,39,Female,Bagmati,Bhaktapur,Urban,Prepaid,330,58,6,2.25,17.6,14,100,5,-60,2.1,4.6,0,0,1,0,0,0,7.1,-24.6,0,0,Low
DEMO-0042,32,Female,Koshi,Ilam,Semi-Urban,Prepaid,30,102,2,5.51,20.5,1,150,7,-75,2.55,7.3,1,12,1,0,0,0,40.1,-3.0,1,0,Medium
DEMO-0043,31,Male,Lumbini,Palpa,Semi-Urban,Prepaid,780,550,3,1.94,38.6,0,500,7,-96,5.11,14.8,0,0,1,1,0,0,-12.5,1.5,5,0,High
DEMO-0044,34,Female,Madhesh,Rautahat,Semi-Urban,Postpaid,330,624,5,1.09,22.5,0,0,0,-95,6.43,3.3,2,26,1,1,0,0,15.6,5.1,5,800,Postpaid
DEMO-0045,43,Female,Lumbini,Rolpa,Rural,Prepaid,120,384,7,2.39,23.5,1,300,7,-93,5.15,3.6,2,31,1,1,0,0,18.8,10.5,7,0,Medium
DEMO-0046,24,Male,Lumbini,Palpa,Semi-Urban,Prepaid,300,58,4,1.46,28.1,5,50,4,-78,1.83,11.1,0,0,1,1,0,0,8.2,1.8,1,0,Low
DEMO-0047,18,Male,Madhesh,Bara,Semi-Urban,Prepaid,630,17,6,2.7,35.2,21,30,7,-103,8.84,12.8,1,34,0,0,1,0,13.7,-8.6,9,0,Low
DEMO-0048,19,Male,Koshi,Morang,Urban,Prepaid,1380,278,2,3.56,38.5,9,200,8,-81,1.67,36.0,0,0,0,1,1,0,2.7,-12.6,0,0,Medium
DEMO-0049,27,Male,Koshi,Ilam,Semi-Urban,Prepaid,360,126,2,6.36,38.1,19,150,9,-96,7.06,8.5,4,12,0,1,0,0,5.0,7.8,2,0,Medium
DEMO-0050,36,Female,Sudurpashchim,Bajhang,Rural,Prepaid,270,216,5,1.47,39.3,8,200,4,-94,6.64,4.9,1,26,1,1,0,0,23.3,-17.3,3,0,Medium
