customer_id,age,gender,province,district,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,monthly_bill_npr,recharge_segment,churn
NP-CUST-00019,38,Male,Lumbini,Dang,Semi-Urban,Prepaid,90,208,3,0.36,28.5,5,150,3,-74,1.49,1.9,0,0,1,1,0,0,-7.7,2.6,5,0,Medium,0
NP-CUST-00020,24,Male,Gandaki,Syangja,Semi-Urban,Prepaid,270,24,5,0.72,19.3,5,30,4,-106,8.47,8.6,5,23,0,1,0,0,11.4,-6.1,3,0,Low,1
NP-CUST-00021,35,Female,Lumbini,Palpa,Semi-Urban,Prepaid,30,114,5,1.5,30.1,11,200,4,-103,6.73,3.5,3,17,0,0,0,0,25.5,2.9,3,0,Medium,0
NP-CUST-00022,33,Male,Madhesh,Dhanusha,Semi-Urban,Prepaid,420,207,4,2.66,21.5,7,200,5,-78,0.89,15.1,1,21,1,1,0,0,0.3,-12.4,0,0,Medium,0
NP-CUST-00023,46,Female,Sudurpashchim,Kanchanpur,Urban,Postpaid,150,900,5,3.91,13.0,0,0,0,-57,0.1,21.2,0,0,1,1,0,0,-4.1,14.5,4,2000,Postpaid,0
NP-CUST-00024,38,Female,Sudurpashchim,Kanchanpur,Urban,Prepaid,150,131,5,4.58,36.5,3,200,9,-76,3.77,19.4,1,6,0,0,0,0,-13.4,2.7,4,0,Medium,0
NP-CUST-00025,35,Female,Lumbini,Banke,Urban,Prepaid,30,114,4,3.08,6.5,0,100,6,-61,0.82,14.1,0,0,1,1,0,0,12.3,7.3,4,0,Low,0
NP-CUST-00026,18,Male,Madhesh,Rautahat,Semi-Urban,Prepaid,2220,442,7,0.87,38.8,6,500,6,-88,3.95,18.0,1,43,1,1,0,0,5.2,6.3,3,0,High,0
NP-CUST-00027,27,Female,Bagmati,Lalitpur,Urban,Prepaid,180,368,3,3.38,25.9,7,300,11,-58,0.1,14.0,1,13,1,1,0,0,-7.9,12.9,5,0,Medium,0
NP-CUST-00028,24,Female,Koshi,Taplejung,Rural,Prepaid,630,96,5,4.05,18.4,11,200,7,-102,7.64,12.0,1,9,1,0,0,0,-1.5,19.6,4,0,Medium,0
NP-CUST-00029,24,Female,Koshi,Bhojpur,Rural,Prepaid,750,63,7,2.02,22.2,2,50,4,-103,5.97,1.8,2,30,0,1,1,0,-34.3,16.9,11,0,Low,1
NP-CUST-00030,32,Male,Lumbini,Banke,Urban,Prepaid,480,148,3,9.69,16.0,5,150,1,-56,0.1,16.6,1,33,1,1,1,0,-39.4,23.2,7,0,Medium,1
NP-CUST-00031,34,Female,Lumbini,Rolpa,Rural,Prepaid,360,39,5,3.75,14.3,23,30,7,-105,6.34,6.4,3,15,1,1,0,0,1.3,-16.5,5,0,Low,1
NP-CUST-00032,35,Female,Sudurpashchim,Darchula,Rural,Prepaid,630,81,7,0.24,27.9,3,50,11,-86,4.6,5.5,3,0,1,1,0,0,-22.5,0.1,6,0,Low,0
NP-CUST-00033,45,Male,Madhesh,Rautahat,Semi-Urban,Postpaid,540,900,10,0.64,22.4,0,0,0,-75,3.47,7.7,1,22,1,1,0,0,10.0,-7.5,0,1000,Postpaid,0
NP-CUST-00034,37,Male,Bagmati,Bhaktapur,Urban,Prepaid,120,94,6,0.38,20.0,4,200,7,-68,2.49,5.0,0,0,0,0,0,0,-5.4,1.3,3,0,Medium,0
NP-CUST-00035,20,Female,Bagmati,Bhaktapur,Urban,Prepaid,60,78,6,6.9,36.2,6,200,1,-56,0.1,18.1,0,0,1,0,1,0,7.0,1.8,1,0,Medium,0
NP-CUST-00036,34,Female,Madhesh,Mahottari,Semi-Urban,Prepaid,450,176,7,2.25,9.6,16,500,4,-80,3.94,6.2,0,0,1,0,1,0,7.3,21.2,3,0,High,0
NP-CUST-00037,38,Female,Koshi,Jhapa,Urban,Prepaid,300,135,8,5.15,3.1,3,100,3,-61,0.64,11.1,0,0,1,1,1,0,-23.4,-0.1,5,0,Low,0
NP-CUST-00038,45,Female,Bagmati,Kathmandu,Urban,Prepaid,750,58,5,4.05,23.5,5,100,5,-69,0.89,25.9,0,0,1,0,0,0,4.6,-0.6,1,0,Low,0
NP-CUST-00039,30,Male,Madhesh,Rautahat,Semi-Urban,Prepaid,300,68,3,2.28,5.4,2,150,10,-99,4.95,1.7,0,0,1,0,1,0,-11.7,-5.4,3,0,Medium,0
NP-CUST-00040,31,Male,Gandaki,Syangja,Semi-Urban,Prepaid,90,77,6,3.63,24.6,0,50,10,-113,9.77,7.9,1,40,1,1,0,1,17.2,23.3,7,0,Low,0
NP-CUST-00041,43,Female,Bagmati,Dolakha,Rural,Prepaid,330,38,7,1.0,27.1,11,50,11,-94,5.42,0.3,0,0,0,1,1,0,19.4,-27.4,2,0,Low,0
NP-CUST-00042,34,Female,Karnali,Humla,Rural,Postpaid,180,900,5,3.65,34.7,0,0,0,-106,7.13,5.5,2,13,1,1,0,0,16.5,-4.1,2,3000,Postpaid,0
NP-CUST-00043,18,Female,Lumbini,Rupandehi,Urban,Prepaid,510,207,2,17.19,36.2,11,150,2,-64,1.17,26.0,0,0,1,1,1,0,8.3,5.8,1,0,Medium,0
NP-CUST-00044,18,Male,Madhesh,Mahottari,Semi-Urban,Postpaid,60,653,2,4.02,13.9,0,0,0,-70,3.73,8.9,0,0,1,1,1,0,-10.8,9.5,9,800,Postpaid,0
NP-CUST-00045,50,Female,Karnali,Humla,Rural,Prepaid,720,40,10,2.32,10.6,4,50,3,-92,3.05,2.6,1,21,0,0,0,0,-10.0,3.2,6,0,Low,0
NP-CUST-00046,18,Female,Lumbini,Palpa,Semi-Urban,Prepaid,480,177,1,2.03,16.7,0,200,9,-86,6.06,17.8,2,31,1,1,0,0,-12.8,-4.9,6,0,Medium,0
NP-CUST-00047,30,Male,Bagmati,Lalitpur,Urban,Prepaid,180,96,5,14.37,37.3,10,100,7,-83,3.55,35.3,0,0,1,1,1,0,-0.4,2.7,0,0,Low,0
NP-CUST-00048,41,Female,Madhesh,Rautahat,Semi-Urban,Prepaid,420,266,1,2.06,21.9,2,300,5,-93,5.39,10.0,0,0,0,1,0,0,5.7,-17.0,3,0,Medium,0
NP-CUST-00049,18,Male,Lumbini,Rolpa,Rural,Prepaid,2430,176,3,0.84,57.1,8,200,5,-88,3.51,10.6,0,0,0,1,0,0,-0.5,-18.2,2,0,Medium,0
NP-CUST-00050,21,Male,Koshi,Taplejung,Rural,Postpaid,30,296,3,2.6,27.5,0,0,0,-94,3.86,1.8,1,26,1,0,0,0,-17.5,-4.3,6,500,Postpaid,0
NP-CUST-00051,20,Female,Madhesh,Bara,Semi-Urban,Prepaid,660,142,6,3.84,26.0,1,100,9,-85,4.46,7.4,1,16,1,1,1,0,5.1,12.1,2,0,Low,0
NP-CUST-00052,50,Male,Koshi,Taplejung,Rural,Prepaid,330,361,2,2.04,25.1,1,300,6,-98,5.73,0.3,1,18,1,1,0,0,-27.2,5.6,9,0,Medium,1
NP-CUST-00053,52,Female,Lumbini,Banke,Urban,Prepaid,720,213,8,3.99,10.2,3,200,5,-68,0.69,7.6,0,0,1,1,0,1,11.7,-3.7,1,0,Medium,0
NP-CUST-00054,25,Female,Gandaki,Tanahun,Semi-Urban,Prepaid,120,151,0,4.69,36.4,3,100,4,-85,3.13,3.1,0,0,1,1,0,0,-11.3,4.1,3,0,Low,0
NP-CUST-00055,38,Male,Lumbini,Palpa,Semi-Urban,Prepaid,90,73,4,2.5,26.9,0,100,3,-79,1.21,11.1,0,0,1,1,0,0,-17.6,23.0,5,0,Low,0
NP-CUST-00056,35,Female,Lumbini,Banke,Urban,Prepaid,60,185,3,16.39,17.6,4,200,9,-71,1.62,7.9,0,0,0,1,0,0,13.3,13.3,0,0,Medium,0
NP-CUST-00057,29,Male,Bagmati,Lalitpur,Urban,Prepaid,450,28,4,1.84,19.2,7,50,11,-74,2.37,4.0,0,0,0,0,0,0,0.9,-12.7,3,0,Low,0
NP-CUST-00058,18,Male,Bagmati,Kavre,Semi-Urban,Prepaid,90,56,5,4.33,34.8,2,50,5,-90,5.5,4.9,1,23,1,1,1,0,10.4,-22.4,2,0,Low,0
NP-CUST-00059,55,Male,Koshi,Morang,Urban,Prepaid,420,9,5,3.98,10.8,1,10,6,-68,1.51,11.5,0,0,1,0,0,0,-36.2,-1.1,10,0,Low,1
NP-CUST-00060,18,Female,Koshi,Ilam,Semi-Urban,Prepaid,990,175,3,5.12,28.9,4,200,8,-108,7.72,2.8,2,26,0,1,0,0,14.5,24.3,6,0,Medium,0
NP-CUST-00061,34,Male,Gandaki,Syangja,Semi-Urban,Prepaid,600,74,2,2.73,17.2,2,200,8,-96,4.67,8.4,2,26,1,0,0,0,-5.4,10.0,2,0,Medium,0
NP-CUST-00062,26,Male,Bagmati,Dolakha,Rural,Prepaid,120,205,6,9.92,16.8,2,200,4,-91,5.88,4.6,4,31,1,1,0,0,-3.5,18.2,4,0,Medium,0
NP-CUST-00063,42,Female,Bagmati,Sindhuli,Rural,Prepaid,480,118,8,1.37,17.9,2,200,2,-111,7.8,0.9,4,9,1,0,0,0,-2.3,-11.0,3,0,Medium,1
NP-CUST-00064,40,Female,Lumbini,Banke,Urban,Prepaid,690,135,2,4.53,14.5,2,150,3,-73,2.28,24.0,0,0,0,1,0,0,26.8,7.9,7,0,Medium,0
NP-CUST-00065,22,Female,Gandaki,Gorkha,Semi-Urban,Prepaid,450,87,4,3.1,17.8,12,150,10,-96,5.03,4.1,0,0,1,0,0,0,13.7,-5.6,3,0,Medium,0
NP-CUST-00066,24,Male,Bagmati,Lalitpur,Urban,Prepaid,240,34,2,4.47,41.3,1,50,6,-67,2.0,11.3,1,24,0,0,0,1,-19.9,-2.6,6,0,Low,0
NP-CUST-00067,18,Female,Bagmati,Dolakha,Rural,Prepaid,1440,68,5,3.09,21.9,9,50,7,-100,7.61,5.2,4,37,1,1,1,0,-21.7,11.5,8,0,Low,1
NP-CUST-00068,34,Female,Madhesh,Parsa,Semi-Urban,Prepaid,180,145,1,2.24,26.0,14,200,7,-76,1.97,5.3,0,0,1,1,0,0,-32.1,6.2,8,0,Medium,1
NP-CUST-00069,39,Male,Koshi,Bhojpur,Rural,Prepaid,390,69,8,3.2,13.3,3,150,5,-89,6.25,1.4,1,13,1,0,0,0,14.3,6.1,6,0,Medium,0
NP-CUST-00070,28,Male,Bagmati,Sindhuli,Rural,Prepaid,390,77,3,1.71,31.6,1,150,7,-98,7.08,3.8,5,17,1,0,0,0,-1.1,-9.6,5,0,Medium,1
NP-CUST-00071,30,Male,Madhesh,Parsa,Semi-Urban,Prepaid,2100,113,4,11.64,13.2,3,200,7,-78,4.94,15.2,0,0,1,0,0,0,-0.3,-20.9,4,0,Medium,0
NP-CUST-00072,51,Female,Bagmati,Kathmandu,Urban,Prepaid,720,174,11,3.34,0.0,1,200,6,-78,4.24,27.3,1,18,0,1,1,0,-2.6,-14.0,6,0,Medium,0
NP-CUST-00073,41,Female,Karnali,Kalikot,Rural,Prepaid,600,192,9,4.08,21.0,8,150,7,-111,8.19,2.2,4,18,1,1,1,0,25.3,8.8,7,0,Medium,0
NP-CUST-00074,45,Male,Madhesh,Mahottari,Semi-Urban,Prepaid,480,223,5,3.43,21.8,11,150,1,-101,5.35,3.8,1,35,1,1,0,0,10.4,-14.8,3,0,Medium,1
NP-CUST-00075,18,Male,Koshi,Taplejung,Rural,Prepaid,450,135,5,1.43,32.4,3,100,4,-84,4.29,1.9,0,0,1,1,0,0,-3.1,0.7,5,0,Low,0
NP-CUST-00076,37,Female,Madhesh,Dhanusha,Semi-Urban,Prepaid,1470,14,7,6.58,17.8,5,10,1,-83,2.09,14.2,2,0,1,1,0,0,-2.1,13.9,4,0,Low,0
NP-CUST-00077,35,Female,Madhesh,Saptari,Semi-Urban,Prepaid,1560,142,8,3.19,19.7,10,100,2,-102,7.75,4.4,2,22,1,1,0,1,3.3,-5.3,5,0,Low,1
NP-CUST-00078,19,Female,Gandaki,Syangja,Semi-Urban,Prepaid,1050,70,5,3.47,22.3,10,50,7,-92,5.39,19.6,2,23,0,1,0,0,5.0,2.2,1,0,Low,0
NP-CUST-00079,22,Male,Bagmati,Dolakha,Rural,Prepaid,420,145,4,4.57,36.9,3,100,4,-86,3.63,5.2,1,19,1,1,0,0,-10.2,-14.5,5,0,Low,0
NP-CUST-00080,30,Female,Lumbini,Palpa,Semi-Urban,Prepaid,1440,177,4,4.61,38.7,2,300,7,-101,6.35,7.5,2,24,1,0,0,0,2.3,-19.9,3,0,Medium,0
NP-CUST-00081,19,Male,Gandaki,Gorkha,Semi-Urban,Postpaid,60,900,5,12.88,40.9,0,0,0,-98,7.44,4.9,1,21,1,1,0,0,-10.7,-12.5,5,1500,Postpaid,0
NP-CUST-00082,24,Male,Bagmati,Bhaktapur,Urban,Postpaid,210,900,7,15.54,16.9,0,0,0,-57,0.1,16.7,0,0,1,1,1,0,-25.1,8.7,8,1500,Postpaid,0
NP-CUST-00083,27,Female,Lumbini,Dang,Semi-Urban,Prepaid,60,70,2,4.91,13.2,2,50,2,-79,3.02,3.4,0,0,1,1,0,0,12.0,-3.9,2,0,Low,0
NP-CUST-00084,38,Male,Koshi,Taplejung,Rural,Postpaid,840,444,8,3.38,12.8,0,0,0,-83,3.34,0.9,1,31,0,1,0,1,-30.2,-3.3,9,500,Postpaid,1
NP-CUST-00085,25,Female,Koshi,Sunsari,Urban,Prepaid,1950,16,4,7.17,33.3,7,30,10,-82,3.71,21.2,0,0,1,0,0,0,-14.6,-9.1,6,0,Low,0
NP-CUST-00086,28,Male,Koshi,Sunsari,Urban,Prepaid,540,86,3,11.28,8.7,2,100,9,-75,3.24,15.4,0,0,1,1,0,0,-4.9,6.1,4,0,Low,0
NP-CUST-00087,42,Female,Lumbini,Rupandehi,Urban,Prepaid,330,123,9,12.68,19.1,3,100,10,-60,0.54,24.5,0,0,1,1,0,0,-2.0,14.3,2,0,Low,0
NP-CUST-00088,18,Male,Bagmati,Chitwan,Urban,Prepaid,300,233,2,23.74,18.9,7,200,5,-66,0.1,18.7,0,0,1,1,1,0,-24.4,24.5,7,0,Medium,0
NP-CUST-00089,34,Male,Koshi,Sunsari,Urban,Prepaid,90,82,4,3.19,14.2,12,150,3,-67,1.66,10.5,0,0,0,0,0,0,-1.8,8.6,3,0,Medium,0
NP-CUST-00090,36,Male,Bagmati,Kavre,Semi-Urban,Prepaid,90,259,2,1.51,6.1,6,200,4,-86,3.28,14.1,1,10,1,1,0,0,-5.7,2.8,2,0,Medium,0
NP-CUST-00091,36,Female,Koshi,Morang,Urban,Prepaid,60,234,8,3.09,30.2,15,200,7,-65,0.88,11.3,0,0,1,1,0,0,-16.3,-2.9,5,0,Medium,0
NP-CUST-00092,27,Female,Lumbini,Rolpa,Rural,Prepaid,2880,119,5,3.04,34.0,11,100,5,-96,3.82,8.5,1,37,1,1,1,0,15.1,-16.3,2,0,Low,0
NP-CUST-00093,21,Female,Bagmati,Chitwan,Urban,Postpaid,240,413,6,3.61,29.1,0,0,0,-82,3.22,11.1,0,0,1,0,0,0,16.1,0.2,1,1000,Postpaid,0
NP-CUST-00094,47,Female,Bagmati,Kathmandu,Urban,Prepaid,300,277,13,5.33,7.5,5,200,3,-75,1.82,6.3,0,0,1,1,0,0,-13.7,-19.6,5,0,Medium,0
NP-CUST-00095,23,Female,Madhesh,Rautahat,Semi-Urban,Prepaid,120,29,0,0.61,25.7,1,50,6,-96,4.64,18.4,3,14,1,0,0,0,-0.2,-8.0,3,0,Low,0
NP-CUST-00096,21,Male,Gandaki,Syangja,Semi-Urban,Prepaid,60,10,7,0.41,17.9,2,10,2,-112,7.99,5.0,1,12,1,0,0,0,-3.4,-25.2,6,0,Low,1
NP-CUST-00097,32,Male,Madhesh,Parsa,Semi-Urban,Prepaid,750,16,7,0.57,27.9,1,30,1,-68,2.24,5.3,0,0,1,0,1,0,-3.2,8.9,4,0,Low,0
NP-CUST-00098,25,Female,Koshi,Ilam,Semi-Urban,Prepaid,330,159,1,0.72,17.1,6,200,2,-81,2.68,2.8,1,28,1,1,1,0,-19.5,-7.0,4,0,Medium,0
NP-CUST-00099,43,Male,Koshi,Bhojpur,Rural,Prepaid,540,61,3,4.05,32.9,2,150,2,-91,3.58,3.3,1,28,0,0,1,0,10.0,3.7,0,0,Medium,0
NP-CUST-00100,29,Male,Sudurpashchim,Darchula,Rural,Prepaid,570,74,4,2.33,6.5,11,50,2,-95,7.19,1.2,2,24,0,1,0,0,25.0,10.3,4,0,Low,0
NP-CUST-00101,44,Male,Sudurpashchim,Dadeldhura,Rural,Prepaid,480,112,7,1.24,14.2,14,150,7,-88,4.13,9.2,0,0,0,1,0,0,-1.5,-11.2,4,0,Medium,0
NP-CUST-00102,36,Other,Lumbini,Rolpa,Rural,Prepaid,570,66,4,5.17,19.7,1,50,4,-105,8.5,2.7,2,6,0,1,0,0,13.8,-5.8,5,0,Low,0
NP-CUST-00103,28,Male,Madhesh,Parsa,Semi-Urban,Prepaid,660,108,3,6.98,31.6,9,200,7,-88,3.52,3.9,0,0,1,0,0,0,-0.5,16.8,1,0,Medium,0
NP-CUST-00104,43,Male,Sudurpashchim,Darchula,Rural,Prepaid,540,133,8,5.0,4.9,0,100,3,-74,3.34,3.7,1,4,0,1,0,0,13.0,19.0,5,0,Low,0
NP-CUST-00105,25,Female,Lumbini,Rolpa,Rural,Prepaid,1920,95,2,3.11,25.8,1,100,2,-111,9.05,14.8,4,38,0,1,1,0,-17.8,6.6,9,0,Low,1
NP-CUST-00106,29,Female,Lumbini,Kapilvastu,Rural,Prepaid,2100,51,4,1.83,23.7,0,100,7,-85,4.87,3.9,0,0,1,0,0,0,21.4,-0.3,1,0,Low,0
NP-CUST-00107,37,Male,Bagmati,Chitwan,Urban,Prepaid,1740,223,4,4.31,17.5,6,200,7,-60,0.61,13.5,0,0,1,1,1,1,-15.7,-8.2,3,0,Medium,0
NP-CUST-00108,34,Female,Madhesh,Saptari,Semi-Urban,Prepaid,240,140,4,0.54,32.2,12,100,7,-89,5.72,7.8,1,20,1,1,1,0,33.0,-1.2,4,0,Low,0
NP-CUST-00109,25,Male,Koshi,Sunsari,Urban,Prepaid,510,51,2,3.83,27.1,21,30,7,-70,1.51,25.3,1,0,1,1,0,0,-2.6,-17.6,0,0,Low,0
NP-CUST-00110,18,Male,Sudurpashchim,Darchula,Rural,Prepaid,720,61,2,0.7,41.4,3,50,4,-91,4.79,6.1,0,0,1,1,1,0,48.7,33.3,4,0,Low,0
NP-CUST-00111,32,Female,Bagmati,Sindhuli,Rural,Prepaid,930,175,7,0.99,17.6,10,500,5,-109,8.63,4.4,5,19,1,0,0,0,-8.5,15.5,5,0,High,0
NP-CUST-00112,25,Female,Madhesh,Mahottari,Semi-Urban,Prepaid,1320,341,3,1.21,40.1,8,300,7,-98,7.84,14.4,5,50,0,1,0,0,-2.5,7.9,3,0,Medium,0
NP-CUST-00113,32,Female,Madhesh,Dhanusha,Semi-Urban,Prepaid,660,218,4,2.77,25.7,10,200,5,-57,2.51,8.1,0,0,1,1,0,0,10.5,7.0,1,0,Medium,0
NP-CUST-00114,28,Male,Bagmati,Sindhuli,Rural,Prepaid,1410,152,2,1.5,37.5,11,100,8,-88,4.71,3.2,0,0,1,1,0,0,4.0,-6.1,2,0,Low,0
NP-CUST-00115,25,Male,Madhesh,Bara,Semi-Urban,Prepaid,660,475,3,1.98,18.1,8,500,9,-91,4.26,8.0,2,25,1,1,1,0,-30.8,7.4,10,0,High,1
NP-CUST-00116,29,Male,Karnali,Humla,Rural,Postpaid,870,600,6,3.58,30.2,0,0,0,-89,4.57,2.3,1,20,0,1,0,0,-31.6,16.8,11,1000,Postpaid,1
NP-CUST-00117,31,Male,Lumbini,Rolpa,Rural,Prepaid,510,181,5,2.4,18.2,3,200,5,-99,5.55,6.6,2,30,1,1,1,0,-37.9,-34.2,10,0,Medium,1
NP-CUST-00118,39,Male,Lumbini,Rolpa,Rural,Prepaid,120,287,6,2.93,19.5,1,200,9,-103,6.89,2.2,0,0,0,1,0,0,-3.0,2.9,6,0,Medium,0
NP-CUST-00119,36,Male,Bagmati,Dolakha,Rural,Prepaid,570,106,6,1.08,6.7,1,100,3,-84,3.86,0.5,1,31,1,1,1,0,0.7,4.7,1,0,Low,0
NP-CUST-00120,53,Male,Gandaki,Kaski,Urban,Prepaid,60,90,5,5.27,22.1,0,100,4,-78,3.22,5.6,3,19,1,1,1,0,-7.9,-20.6,4,0,Low,1
NP-CUST-00121,33,Female,Gandaki,Tanahun,Semi-Urban,Postpaid,210,336,3,2.34,10.4,0,0,0,-72,2.35,9.7,0,0,1,0,0,1,45.3,-10.7,2,500,Postpaid,0
NP-CUST-00122,25,Male,Gandaki,Tanahun,Semi-Urban,Prepaid,300,30,4,0.56,42.0,0,30,5,-95,5.96,4.4,1,34,0,1,1,0,27.6,20.7,7,0,Low,0
NP-CUST-00123,30,Male,Koshi,Ilam,Semi-Urban,Prepaid,30,380,2,1.09,32.7,2,300,2,-89,3.27,12.3,1,22,1,1,1,0,6.8,-7.1,3,0,Medium,0
NP-CUST-00124,38,Male,Bagmati,Dolakha,Rural,Prepaid,750,189,6,1.19,25.6,8,150,5,-77,2.01,3.5,1,35,0,1,1,0,21.6,27.1,0,0,Medium,0
NP-CUST-00125,42,Male,Koshi,Taplejung,Rural,Prepaid,330,48,12,3.0,20.8,3,50,5,-88,3.49,6.5,4,41,1,1,0,0,16.0,8.7,2,0,Low,0
NP-CUST-00126,45,Male,Bagmati,Chitwan,Urban,Prepaid,90,116,7,0.79,18.7,3,100,6,-85,4.7,3.9,1,34,1,1,1,0,13.6,8.0,2,0,Low,0
NP-CUST-00127,22,Male,Madhesh,Rautahat,Semi-Urban,Prepaid,660,108,3,2.2,24.0,2,150,5,-98,4.19,5.0,0,0,1,1,0,0,-3.2,-16.3,3,0,Medium,0
NP-CUST-00128,45,Male,Koshi,Morang,Urban,Prepaid,420,71,6,9.5,16.9,2,50,4,-85,5.32,8.5,2,16,0,1,1,0,-9.8,3.2,5,0,Low,0
NP-CUST-00129,32,Male,Koshi,Ilam,Semi-Urban,Prepaid,300,110,4,1.27,15.0,5,300,4,-94,6.11,30.6,2,29,0,0,1,0,20.3,-5.0,2,0,Medium,0
NP-CUST-00130,23,Female,Gandaki,Lamjung,Semi-Urban,Prepaid,540,267,3,1.97,29.8,1,200,12,-102,6.99,5.6,3,32,1,1,0,1,22.9,-3.1,4,0,Medium,0
NP-CUST-00131,30,Male,Madhesh,Parsa,Semi-Urban,Prepaid,30,158,5,4.85,21.1,2,200,2,-71,0.7,2.3,0,0,1,1,1,0,12.6,5.9,2,0,Medium,0
NP-CUST-00132,44,Female,Sudurpashchim,Doti,Rural,Prepaid,840,96,6,4.06,21.8,3,100,4,-77,2.71,4.6,0,0,0,1,0,0,0.3,3.8,2,0,Low,0
NP-CUST-00133,37,Female,Gandaki,Manang,Rural,Prepaid,390,48,11,3.4,25.6,8,150,8,-77,1.26,1.5,0,0,1,0,0,0,-4.8,-26.0,3,0,Medium,0
NP-CUST-00134,20,Female,Madhesh,Rautahat,Semi-Urban,Postpaid,990,628,4,10.12,27.9,0,0,0,-108,8.59,13.9,1,16,0,1,0,0,56.3,8.4,8,1000,Postpaid,0
NP-CUST-00135,20,Female,Gandaki,Manang,Rural,Prepaid,1080,188,5,1.52,15.0,2,150,5,-108,7.74,7.8,3,23,1,1,0,0,-9.7,1.7,5,0,Medium,0
