age,gender,province,district_type,sim_type,tenure_days,calls_min_30d,sms_count_30d,data_gb_30d,night_usage_pct,last_recharge_days_ago,avg_recharge_amount_npr,recharge_count_30d,signal_strength_dbm,call_drop_rate,avg_data_speed_mbps,num_complaints_30d,avg_resolution_time_hours,data_pack_active,voice_pack_active,vas_active,roaming_active,usage_drop_pct,recharge_drop_pct,inactive_days,churn
18,,Bagmati,Lalitpur,Prepaid,2580,610,4,1.5,1.97,24,500,2,-70,0.0,50,0,0,0,2,0,0,0,0,20,0
33,,Bagmati,Kathmandu,Prepaid,90,529,3,7.51,9.88,18,100,4,-78,0.75,50,0,0,0,3,0,0,0,0,10,0
21,,Gandaki,Syangja,Prepaid,2700,636,6,5.36,7.05,21,200,3,-76,0.47,50,0,0,1,2,1,0,0,0,15,0
54,,Koshi,Jhapa,Prepaid,1590,595,1,23.09,30.38,18,50,4,-76,0.5,50,0,0,0,3,1,0,0,0,10,0
51,,Gandaki,Tanahu,Prepaid,2220,619,4,24.71,32.51,27,50,1,-76,0.48,45,1,24,1,4,0,0,0,0,25,1
55,,Bagmati,Bhaktapur,Prepaid,3360,651,7,5.79,7.62,18,100,4,-76,0.46,50,0,0,0,1,1,0,0,0,10,1
27,,Lumbini,Rupandehi,Prepaid,1320,635,5,3.23,4.25,18,500,4,-76,0.47,50,0,0,1,2,1,0,0,0,10,0
42,,Koshi,Morang,Prepaid,1860,568,6,15.41,20.28,27,50,1,-76,0.53,50,0,0,0,3,0,0,0,0,25,0
67,,Madhesh,Dhanusha,Prepaid,720,623,3,0.23,0.3,18,200,4,-74,0.32,50,0,0,0,4,0,0,0,0,10,1
37,,Koshi,Morang,Postpaid,960,619,3,20.74,27.29,27,1000,1,-72,0.16,50,0,0,0,0,0,0,0,0,25,0
52,,Bagmati,Chitwan,Postpaid,2250,676,7,15.5,20.39,27,1000,1,-74,0.3,50,0,0,0,2,0,0,0,0,25,0
53,,Bagmati,Bhaktapur,Prepaid,3330,594,5,5.36,7.05,18,200,4,-76,0.5,50,0,0,0,2,1,0,0,0,10,1
42,,Madhesh,Bara,Prepaid,930,685,7,4.02,5.29,21,500,3,-72,0.15,45,1,24,0,0,1,0,0,0,15,0
49,,Lumbini,Kapilvastu,Prepaid,3540,616,9,7.14,9.39,24,500,2,-78,0.65,50,0,0,0,1,0,0,0,0,20,0
21,,Lumbini,Rupandehi,Prepaid,1740,697,3,6.59,8.67,24,50,2,-80,0.72,50,0,0,1,2,0,0,0,0,20,0
27,,Sudurpashchim,Kanchanpur,Prepaid,3180,561,6,36.14,47.55,21,50,3,-76,0.53,50,0,0,0,3,0,0,0,0,15,1
56,,Sudurpashchim,Kailali,Postpaid,930,661,3,44.89,59.07,27,1000,1,-80,0.76,50,0,0,0,3,0,0,0,0,25,0
50,,Bagmati,Lalitpur,Prepaid,90,672,7,15.62,20.55,24,500,2,-78,0.59,50,0,0,0,4,0,0,0,0,20,0
63,,Gandaki,Syangja,Prepaid,750,504,4,21.14,27.82,18,50,4,-76,0.59,50,0,0,1,1,0,0,0,0,10,0
55,,Karnali,Surkhet,Prepaid,3450,770,6,0.27,0.36,21,100,3,-84,0.91,50,0,0,0,0,0,0,0,0,15,1
40,,Bagmati,Chitwan,Prepaid,2220,654,3,10.59,13.93,24,100,2,-76,0.46,50,0,0,0,2,1,0,0,0,20,1
42,,Bagmati,Kathmandu,Prepaid,1020,442,6,0.52,0.68,21,100,3,-78,0.9,50,0,0,0,1,0,0,0,0,15,0
33,,Bagmati,Kavre,Prepaid,3570,619,2,10.67,14.04,24,200,2,-72,0.16,50,0,0,1,4,0,0,0,0,20,0
29,,Karnali,Salyan,Postpaid,3540,644,7,1.27,1.67,27,1000,1,-82,0.93,50,0,0,0,0,0,0,0,0,25,0
29,,Bagmati,Bhaktapur,Prepaid,2340,820,5,26.63,35.04,24,50,2,-74,0.24,50,0,0,0,3,0,0,0,0,20,0
47,,Gandaki,Kaski,Prepaid,1290,546,1,15.51,20.41,18,100,4,-74,0.37,50,0,0,0,2,0,0,0,0,10,0
30,,Lumbini,Rupandehi,Prepaid,2490,638,4,4.89,6.43,27,50,1,-72,0.16,50,0,0,1,1,1,0,0,0,25,0
32,,Sudurpashchim,Kailali,Prepaid,3180,698,7,30.47,40.09,27,50,1,-76,0.43,50,0,0,0,3,0,0,0,0,25,0
25,,Bagmati,Kathmandu,Prepaid,90,601,8,6.9,9.08,24,50,2,-76,0.5,50,0,0,0,4,0,0,0,0,20,0
50,,Bagmati,Kavre,Prepaid,2100,626,1,19.88,26.16,18,200,4,-72,0.16,45,1,24,0,3,0,0,0,0,10,0
25,,Lumbini,Banke,Prepaid,1530,580,5,0.61,0.8,27,50,1,-74,0.34,50,0,0,0,1,0,0,0,0,25,1
20,,Koshi,Jhapa,Prepaid,3390,609,5,0.8,1.05,24,50,2,-74,0.33,50,0,0,1,3,0,0,0,0,20,0
38,,Bagmati,Chitwan,Prepaid,2640,580,3,7.38,9.71,27,100,1,-82,1.03,50,0,0,1,1,0,0,0,0,25,1
54,,Bagmati,Bhaktapur,Prepaid,570,697,3,3.32,4.37,18,500,4,-74,0.29,50,0,0,1,2,0,0,0,0,10,1
50,,Koshi,Morang,Prepaid,1170,663,4,0.54,0.71,27,200,1,-72,0.15,50,0,0,0,2,0,0,0,0,25,1
38,,Karnali,Surkhet,Postpaid,1620,551,6,7.65,10.07,27,1000,1,-72,0.18,50,0,0,1,3,0,0,0,0,25,0
51,,Bagmati,Bhaktapur,Prepaid,1950,678,2,7.56,9.95,18,50,4,-76,0.44,50,0,0,0,3,0,0,0,0,10,1
20,,Gandaki,Syangja,Prepaid,1830,663,3,16.82,22.13,27,100,1,-76,0.45,50,0,0,0,1,0,0,0,0,25,0
33,,Bagmati,Kavre,Prepaid,2700,472,3,7.25,9.54,18,500,4,-76,0.63,50,0,0,0,0,0,0,0,0,10,0
18,,Lumbini,Kapilvastu,Prepaid,660,594,3,1.22,1.61,27,50,1,-70,0.0,50,0,0,0,3,0,0,0,0,25,0
32,,Bagmati,Kavre,Prepaid,2310,798,4,8.06,10.61,21,50,3,-74,0.25,45,1,24,0,2,1,0,0,0,15,0
61,,Bagmati,Chitwan,Postpaid,1260,881,1,11.96,15.74,27,1000,1,-74,0.23,40,2,24,0,3,0,0,0,0,25,0
51,,Madhesh,Parsa,Prepaid,1260,692,4,1.62,2.13,24,500,2,-82,0.87,50,0,0,0,0,1,1,0,0,20,1
32,,Bagmati,Chitwan,Postpaid,2730,587,3,3.09,4.07,27,1000,1,-80,0.85,50,0,0,1,0,1,0,0,0,25,0
48,,Gandaki,Syangja,Prepaid,2340,483,5,29.53,38.86,21,200,3,-72,0.21,50,0,0,0,4,0,0,0,0,15,0
50,,Koshi,Jhapa,Prepaid,750,740,3,15.09,19.86,24,500,2,-74,0.27,50,0,0,1,1,0,0,0,0,20,0
69,,Bagmati,Chitwan,Prepaid,2340,426,2,9.74,12.82,21,200,3,-70,0.0,50,0,0,0,1,0,0,0,0,15,0
69,,Sudurpashchim,Kailali,Prepaid,2640,867,7,25.64,33.74,27,500,1,-72,0.12,50,0,0,0,3,1,0,0,0,25,0
66,,Bagmati,Kavre,Prepaid,1380,577,4,12.76,16.79,21,50,3,-78,0.69,50,0,0,1,3,1,0,0,0,15,0
70,,Bagmati,Lalitpur,Postpaid,3240,794,7,7.79,10.25,27,1000,1,-74,0.25,50,0,0,1,4,0,0,0,0,25,0
21,,Madhesh,Dhanusha,Prepaid,930,753,2,32.53,42.8,21,50,3,-76,0.4,50,0,0,0,2,0,0,0,0,15,0
37,,Koshi,Jhapa,Prepaid,3060,590,4,6.52,8.58,27,50,1,-78,0.68,50,0,0,0,3,0,0,0,0,25,1
20,,Madhesh,Parsa,Prepaid,1530,504,6,6.14,8.08,27,500,1,-76,0.59,50,0,0,0,2,0,0,0,0,25,0
43,,Bagmati,Kathmandu,Prepaid,1680,697,1,4.22,5.55,27,100,1,-76,0.43,45,1,24,0,0,0,0,0,0,25,0
23,,Gandaki,Tanahu,Postpaid,3540,571,6,1.2,1.58,27,1000,1,-84,1.22,45,1,24,1,1,0,0,0,0,25,0
55,,Karnali,Salyan,Prepaid,1200,749,6,5.46,7.18,18,100,4,-74,0.27,50,0,0,1,1,1,0,0,0,10,0
32,,Lumbini,Rupandehi,Prepaid,1620,650,5,0.04,0.05,18,500,4,-76,0.46,50,0,0,0,4,1,0,0,0,10,0
57,,Gandaki,Tanahu,Prepaid,1530,547,3,5.21,6.86,27,500,1,-70,0.0,45,1,24,1,3,1,0,0,0,25,0
62,,Koshi,Jhapa,Prepaid,1800,545,5,9.41,12.38,18,50,4,-72,0.18,50,0,0,0,1,0,0,0,0,10,0
41,,Gandaki,Tanahu,Prepaid,1980,580,3,15.89,20.91,27,500,1,-80,0.86,50,0,0,1,4,0,0,0,0,25,1
66,,Gandaki,Tanahu,Postpaid,1860,601,6,25.77,33.91,27,1000,1,-78,0.66,50,0,0,1,0,1,0,0,0,25,0
21,,Gandaki,Kaski,Prepaid,240,788,1,4.09,5.38,21,50,3,-72,0.13,40,2,24,0,4,0,0,0,0,15,1
39,,Bagmati,Bhaktapur,Prepaid,1050,686,4,11.52,15.16,18,200,4,-74,0.29,50,0,0,0,1,0,0,0,0,10,0
51,,Bagmati,Kavre,Prepaid,420,670,6,6.28,8.26,24,500,2,-72,0.15,45,1,24,0,2,0,0,0,0,20,0
55,,Bagmati,Kavre,Prepaid,60,702,5,1.25,1.64,21,50,3,-76,0.43,50,0,0,1,0,0,0,0,0,15,0
47,,Koshi,Morang,Prepaid,1380,807,7,1.01,1.33,27,200,1,-76,0.37,50,0,0,1,0,0,0,0,0,25,0
35,,Madhesh,Parsa,Prepaid,3540,725,1,5.2,6.84,18,50,4,-78,0.55,50,0,0,0,0,0,0,0,0,10,0
52,,Bagmati,Kathmandu,Prepaid,3240,680,5,13.82,18.18,21,100,3,-76,0.44,50,0,0,0,0,1,0,0,0,15,0
31,,Koshi,Jhapa,Prepaid,270,429,2,1.81,2.38,18,100,4,-76,0.7,50,0,0,0,3,0,0,0,0,10,1
40,,Lumbini,Rupandehi,Prepaid,1350,532,2,32.41,42.64,27,200,1,-76,0.56,45,1,24,0,2,1,0,0,0,25,0
67,,Bagmati,Kavre,Prepaid,1260,701,7,20.0,26.32,24,200,2,-78,0.57,50,0,0,0,4,0,0,0,0,20,0
39,,Bagmati,Kathmandu,Prepaid,2280,578,3,4.49,5.91,24,50,2,-74,0.35,45,1,24,0,0,0,0,0,0,20,0
53,,Lumbini,Kapilvastu,Prepaid,3150,517,1,4.66,6.13,18,500,4,-78,0.77,50,0,0,0,3,0,0,0,0,10,1
37,,Lumbini,Kapilvastu,Prepaid,1680,823,4,23.72,31.21,24,50,2,-70,0.0,50,0,0,0,0,0,0,0,0,20,0
26,,Gandaki,Tanahu,Prepaid,180,453,2,1.44,1.89,21,200,3,-72,0.22,50,0,0,0,1,0,0,0,0,15,0
53,,Koshi,Jhapa,Prepaid,1830,637,6,3.88,5.11,21,100,3,-70,0.0,50,0,0,0,4,1,0,0,0,15,0
51,,Madhesh,Parsa,Prepaid,2850,664,4,4.9,6.45,24,100,2,-72,0.15,50,0,0,0,3,0,0,0,0,20,0
32,,Koshi,Sunsari,Prepaid,2700,664,10,1.08,1.42,18,100,4,-76,0.45,45,1,24,1,4,0,0,0,0,10,0
49,,Bagmati,Chitwan,Prepaid,540,733,4,0.88,1.16,21,50,3,-76,0.41,50,0,0,0,2,0,0,0,0,15,0
22,,Lumbini,Kapilvastu,Prepaid,3330,536,5,4.89,6.43,27,100,1,-78,0.74,50,0,0,0,1,0,0,0,0,25,0
56,,Sudurpashchim,Kanchanpur,Prepaid,1950,681,6,4.07,5.36,27,50,1,-74,0.29,50,0,0,0,4,0,0,0,0,25,0
46,,Karnali,Surkhet,Prepaid,3510,540,2,4.9,6.45,24,200,2,-80,0.92,50,0,0,0,3,0,0,0,0,20,0
40,,Koshi,Sunsari,Postpaid,3270,513,2,25.37,33.38,27,1000,1,-74,0.39,50,0,0,1,4,1,0,0,0,25,0
52,,Bagmati,Chitwan,Prepaid,3270,545,3,2.7,3.55,18,50,4,-70,0.0,50,0,0,0,0,1,0,0,0,10,0
18,,Bagmati,Kathmandu,Prepaid,2130,560,3,10.77,14.17,24,200,2,-76,0.53,50,0,0,0,2,0,0,0,0,20,0
50,,Lumbini,Kapilvastu,Prepaid,1140,559,5,16.04,21.11,24,500,2,-72,0.18,50,0,0,0,2,0,0,0,0,20,0
62,,Koshi,Sunsari,Prepaid,2160,660,4,34.88,45.89,21,500,3,-72,0.15,50,0,0,1,3,0,0,0,0,15,0
26,,Gandaki,Kaski,Prepaid,2460,547,3,5.35,7.04,27,500,1,-80,0.91,50,0,0,1,2,0,0,0,0,25,0
34,,Koshi,Morang,Prepaid,360,677,3,3.7,4.87,24,200,2,-74,0.29,45,1,24,0,0,1,0,0,0,20,0
43,,Madhesh,Dhanusha,Prepaid,1770,615,7,9.47,12.46,18,100,4,-78,0.65,50,0,0,1,0,0,0,0,0,10,0
40,,Madhesh,Bara,Prepaid,2490,664,7,14.24,18.74,27,50,1,-76,0.45,50,0,0,0,3,0,0,0,0,25,0
61,,Gandaki,Tanahu,Prepaid,2340,716,5,27.57,36.28,21,50,3,-74,0.28,40,2,24,0,2,1,0,0,0,15,0
43,,Lumbini,Banke,Prepaid,2100,642,3,17.15,22.57,24,100,2,-78,0.62,50,0,0,0,2,0,0,0,0,20,0
51,,Lumbini,Banke,Prepaid,2340,696,2,5.51,7.25,21,200,3,-76,0.43,45,1,24,0,2,0,0,0,0,15,0
22,,Madhesh,Dhanusha,Postpaid,1290,689,3,0.8,1.05,27,1000,1,-74,0.29,50,0,0,0,3,1,0,0,0,25,0
28,,Gandaki,Kaski,Prepaid,960,638,4,6.65,8.75,24,500,2,-74,0.31,50,0,0,0,4,0,0,0,0,20,0
35,,Madhesh,Dhanusha,Prepaid,3510,535,7,1.7,2.24,18,50,4,-78,0.75,45,1,24,0,4,0,0,0,0,10,0
39,,Bagmati,Kavre,Prepaid,840,872,5,4.47,5.88,18,200,4,-76,0.34,50,0,0,1,4,0,0,0,0,10,0
38,,Bagmati,Lalitpur,Prepaid,1200,497,2,2.8,3.68,21,100,3,-72,0.2,50,0,0,1,3,0,0,0,0,15,0
24,,Bagmati,Chitwan,Prepaid,1680,536,2,23.52,30.95,27,100,1,-76,0.56,50,0,0,0,4,0,0,0,0,25,0
71,,Gandaki,Kaski,Prepaid,600,552,8,11.8,15.53,24,200,2,-76,0.54,45,1,24,0,1,0,0,0,0,20,0
69,,Madhesh,Dhanusha,Prepaid,3480,621,6,8.32,10.95,18,500,4,-72,0.16,50,0,0,1,1,0,0,0,0,10,0
45,,Bagmati,Bhaktapur,Prepaid,2460,698,3,0.44,0.58,18,500,4,-70,0.0,50,0,0,0,2,0,0,0,0,10,0
28,,Bagmati,Chitwan,Postpaid,1080,626,2,7.02,9.24,27,1000,1,-76,0.48,50,0,0,1,3,0,0,0,0,25,1
27,,Lumbini,Kapilvastu,Prepaid,1260,545,4,20.79,27.36,27,500,1,-70,0.0,45,1,24,1,1,0,0,0,0,25,0
41,,Lumbini,Rupandehi,Prepaid,270,638,6,12.93,17.01,21,100,3,-78,0.63,45,1,24,0,1,1,0,0,0,15,0
50,,Lumbini,Kapilvastu,Prepaid,1440,597,7,6.31,8.3,27,200,1,-72,0.17,50,0,0,0,1,1,0,0,0,25,0
57,,Lumbini,Banke,Postpaid,2670,818,4,37.31,49.09,27,1000,1,-80,0.61,50,0,0,1,4,0,0,0,0,25,0
18,,Karnali,Surkhet,Prepaid,480,778,2,6.52,8.58,21,200,3,-70,0.0,50,0,0,0,3,1,0,0,0,15,0
26,,Karnali,Salyan,Prepaid,2250,451,2,1.81,2.38,21,500,3,-86,1.77,50,0,0,1,0,0,0,0,0,15,1
66,,Bagmati,Chitwan,Prepaid,3270,496,7,0.81,1.07,18,500,4,-78,0.8,50,0,0,0,4,1,0,0,0,10,0
44,,Gandaki,Syangja,Prepaid,2850,610,7,3.08,4.05,24,200,2,-76,0.49,50,0,0,0,1,1,0,0,0,20,0
57,,Bagmati,Chitwan,Prepaid,1290,595,5,45.1,59.34,27,100,1,-76,0.5,50,0,0,0,3,1,0,0,0,25,0
23,,Bagmati,Kathmandu,Prepaid,3090,669,6,25.89,34.07,21,100,3,-74,0.3,50,0,0,1,2,1,0,0,0,15,0
66,,Bagmati,Chitwan,Prepaid,2010,720,3,1.56,2.05,21,200,3,-78,0.55,50,0,0,0,0,0,0,0,0,15,0
47,,Bagmati,Kathmandu,Prepaid,2070,567,1,7.43,9.78,21,500,3,-80,0.88,50,0,0,0,3,1,0,0,0,15,1
68,,Karnali,Surkhet,Prepaid,3090,684,6,7.58,9.97,27,100,1,-74,0.29,50,0,0,0,4,0,0,0,0,25,0
24,,Bagmati,Bhaktapur,Prepaid,2310,830,3,14.98,19.71,27,50,1,-78,0.48,50,0,0,0,0,1,0,0,0,25,0
60,,Bagmati,Chitwan,Prepaid,3240,619,6,1.14,1.5,24,100,2,-76,0.48,50,0,0,0,4,1,0,0,0,20,0
26,,Gandaki,Kaski,Prepaid,60,549,4,4.85,6.38,18,500,4,-76,0.55,50,0,0,0,0,1,0,0,0,10,1
43,,Lumbini,Kapilvastu,Prepaid,2220,765,5,15.53,20.43,18,200,4,-74,0.26,45,1,24,1,4,0,0,0,0,10,0
46,,Bagmati,Lalitpur,Postpaid,390,902,1,17.46,22.97,27,1000,1,-72,0.11,50,0,0,0,1,0,0,0,0,25,0
50,,Karnali,Surkhet,Postpaid,3210,652,6,0.12,0.16,27,1000,1,-72,0.15,50,0,0,0,3,1,0,0,0,25,0
18,,Bagmati,Chitwan,Postpaid,2580,789,5,33.96,44.68,27,1000,1,-82,0.76,50,0,0,1,4,0,0,0,0,25,1
56,,Madhesh,Parsa,Prepaid,780,627,3,11.14,14.66,27,200,1,-72,0.16,50,0,0,0,4,0,0,0,0,25,0
65,,Lumbini,Rupandehi,Prepaid,1230,516,5,40.36,53.11,18,500,4,-76,0.58,50,0,0,1,2,1,0,0,0,10,0
67,,Lumbini,Rupandehi,Prepaid,1710,583,11,0.8,1.05,21,50,3,-76,0.51,50,0,0,0,3,0,0,0,0,15,0
41,,Koshi,Sunsari,Prepaid,2310,612,5,5.23,6.88,18,50,4,-74,0.33,50,0,0,0,1,0,0,0,0,10,0
59,,Gandaki,Tanahu,Postpaid,3330,783,6,6.46,8.5,27,1000,1,-74,0.26,50,0,0,0,3,0,0,0,0,25,0
35,,Bagmati,Lalitpur,Prepaid,2040,467,5,22.47,29.57,18,200,4,-76,0.64,50,0,0,1,0,0,0,0,0,10,0
63,,Bagmati,Kavre,Prepaid,3030,502,4,3.93,5.17,24,50,2,-70,0.0,50,0,0,0,4,0,1,0,0,20,0
32,,Gandaki,Tanahu,Prepaid,1590,604,7,14.75,19.41,21,200,3,-70,0.0,50,0,0,0,0,1,0,0,0,15,0
70,,Madhesh,Dhanusha,Postpaid,780,630,5,0.11,0.14,27,1000,1,-80,0.79,50,0,0,0,4,1,0,0,0,25,0
46,,Gandaki,Tanahu,Prepaid,3270,607,9,10.96,14.42,27,500,1,-70,0.0,45,1,24,0,4,0,0,0,0,25,0
21,,Gandaki,Kaski,Postpaid,1680,606,3,5.26,6.92,27,1000,1,-76,0.49,50,0,0,0,4,0,0,0,0,25,0
31,,Gandaki,Tanahu,Prepaid,1860,538,1,6.02,7.92,18,100,4,-70,0.0,50,0,0,0,0,0,0,0,0,10,0
71,,Madhesh,Bara,Postpaid,2100,706,7,4.67,6.14,27,1000,1,-72,0.14,50,0,0,0,1,0,0,0,0,25,0
38,,Bagmati,Lalitpur,Postpaid,3360,461,6,3.4,4.47,27,1000,1,-76,0.65,50,0,0,0,1,0,0,0,0,25,0
69,,Madhesh,Dhanusha,Prepaid,2520,575,7,22.95,30.2,27,50,1,-74,0.35,50,0,0,0,1,0,0,0,0,25,0
54,,Koshi,Morang,Prepaid,210,469,3,2.91,3.83,21,200,3,-74,0.43,50,0,0,0,0,1,0,0,0,15,1
36,,Lumbini,Banke,Prepaid,2610,503,2,0.58,0.76,27,500,1,-86,1.59,45,1,24,0,4,0,0,0,0,25,1
19,,Bagmati,Kathmandu,Prepaid,2760,500,4,30.93,40.7,18,100,4,-72,0.2,50,0,0,1,1,0,0,0,0,10,1
43,,Koshi,Sunsari,Prepaid,570,855,6,1.17,1.54,27,200,1,-76,0.35,50,0,0,0,1,1,0,0,0,25,0
31,,Lumbini,Banke,Prepaid,2670,539,7,3.9,5.13,21,200,3,-74,0.37,50,0,0,0,2,0,0,0,0,15,0
50,,Lumbini,Rupandehi,Prepaid,2910,671,5,0.08,0.11,27,200,1,-86,1.19,50,0,0,0,3,1,0,0,0,25,1
29,,Karnali,Surkhet,Prepaid,2940,562,4,15.65,20.59,24,500,2,-74,0.36,50,0,0,1,2,0,0,0,0,20,0
58,,Bagmati,Kavre,Prepaid,3540,655,3,24.02,31.61,27,100,1,-74,0.3,50,0,0,0,0,0,0,0,0,25,0
22,,Bagmati,Kavre,Prepaid,1620,593,4,8.97,11.8,27,200,1,-80,0.84,50,0,0,0,1,0,0,0,0,25,0
54,,Madhesh,Dhanusha,Prepaid,600,622,2,25.24,33.21,21,500,3,-76,0.48,50,0,0,0,0,1,0,0,0,15,0
54,,Lumbini,Rupandehi,Prepaid,780,589,2,1.01,1.33,21,100,3,-72,0.17,50,0,0,1,2,0,0,0,0,15,0
69,,Lumbini,Rupandehi,Prepaid,930,562,5,2.78,3.66,27,200,1,-80,0.89,50,0,0,0,0,0,0,0,0,25,0
